"GEOCODIGO1","Quantidade_Paralizacao","GEOCODIGO","logData","MUNICIPIO","UF"
251110,NA,2511103,-1,"Pedra Lavrada","PB"
251130,NA,2511301,-1,"Piancó","PB"
251140,NA,2511400,-1,"Picuí","PB"
251200,NA,2512002,-1,"Pocinhos","PB"
251203,NA,2512036,-1,"Poço Dantas","PB"
251207,NA,2512077,-1,"Poço de José de Moura","PB"
251210,NA,2512101,-1,"Pombal","PB"
251220,NA,2512200,-1,"Prata","PB"
251230,NA,2512309,-1,"Princesa Isabel","PB"
251240,NA,2512408,-1,"Puxinanã","PB"
251250,NA,2512507,-1,"Queimadas","PB"
251260,NA,2512606,-1,"Quixabá","PB"
251270,NA,2512705,-1,"Remígio","PB"
251274,NA,2512747,-1,"Riachão","PB"
251275,NA,2512754,-1,"Riachão do Bacamarte","PB"
251278,NA,2512788,-1,"Riacho de Santo Antônio","PB"
251280,NA,2512804,-1,"Riacho dos Cavalos","PB"
251300,NA,2513000,-1,"Salgadinho","PB"
251310,NA,2513109,-1,"Salgado de São Félix","PB"
251315,NA,2513158,-1,"Santa Cecília","PB"
251320,NA,2513208,-1,"Santa Cruz","PB"
251330,NA,2513307,-1,"Santa Helena","PB"
251335,3,2513356,1.58496250072116,"Santa Inês","PB"
251340,NA,2513406,-1,"Santa Luzia","PB"
251350,NA,2513505,-1,"Santana de Mangueira","PB"
251360,NA,2513604,-1,"Santana dos Garrotes","PB"
251365,NA,2513653,-1,"Santarém","PB"
251380,NA,2513802,-1,"Santa Teresinha","PB"
251385,NA,2513851,-1,"Santo André","PB"
251390,NA,2513901,-1,"São Bento","PB"
251392,NA,2513927,-1,"São Bentinho","PB"
251394,NA,2513943,-1,"São Domingos do Cariri","PB"
251396,NA,2513968,-1,"São Domingos","PB"
251398,NA,2513984,-1,"São Francisco","PB"
251400,NA,2514008,-1,"São João do Cariri","PB"
251410,NA,2514107,-1,"São João do Tigre","PB"
251420,NA,2514206,-1,"São José da Lagoa Tapada","PB"
251430,NA,2514305,-1,"São José de Caiana","PB"
251440,NA,2514404,-1,"São José de Espinharas","PB"
251450,NA,2514503,-1,"São José de Piranhas","PB"
251455,NA,2514552,-1,"São José de Princesa","PB"
251460,NA,2514602,-1,"São José do Bonfim","PB"
251465,NA,2514651,-1,"São José do Brejo do Cruz","PB"
251470,NA,2514701,-1,"São José do Sabugi","PB"
251480,NA,2514800,-1,"São José dos Cordeiros","PB"
251490,NA,2514909,-1,"São Mamede","PB"
251510,NA,2515104,-1,"São Sebastião de Lagoa de Roça","PB"
251520,0,2515203,1,"São Sebastião do Umbuzeiro","PB"
251540,NA,2515401,-1,"Seridó","PB"
251550,NA,2515500,-1,"Serra Branca","PB"
251570,NA,2515708,-1,"Serra Grande","PB"
251600,NA,2516003,-1,"Solânea","PB"
251610,NA,2516102,-1,"Soledade","PB"
251615,NA,2516151,-1,"Sossêgo","PB"
251620,7,2516201,2.8073549220576,"Sousa","PB"
251630,NA,2516300,-1,"Sumé","PB"
251640,NA,2516409,-1,"Campo de Santana","PB"
251650,NA,2516508,-1,"Taperoá","PB"
251660,NA,2516607,-1,"Tavares","PB"
251670,NA,2516706,-1,"Teixeira","PB"
251675,0,2516755,1,"Tenório","PB"
251680,NA,2516805,-1,"Triunfo","PB"
251690,NA,2516904,-1,"Uiraúna","PB"
251700,NA,2517001,-1,"Umbuzeiro","PB"
251710,NA,2517100,-1,"Várzea","PB"
251720,NA,2517209,-1,"Vieirópolis","PB"
251740,8,2517407,3,"Zabelê","PB"
260010,16,2600104,4,"Afogados da Ingazeira","PE"
260020,0,2600203,1,"Afrânio","PE"
260030,0,2600302,1,"Agrestina","PE"
260050,0,2600500,1,"Águas Belas","PE"
260060,0,2600609,1,"Alagoinha","PE"
260080,0,2600807,1,"Altinho","PE"
260100,0,2601003,1,"Angelim","PE"
260110,16,2601102,4,"Araripina","PE"
260120,0,2601201,1,"Arcoverde","PE"
260160,0,2601607,1,"Belém de São Francisco","PE"
260170,0,2601706,1,"Belo Jardim","PE"
260180,0,2601805,1,"Betânia","PE"
260190,0,2601904,1,"Bezerros","PE"
260200,14,2602001,3.8073549220576,"Bodocó","PE"
260210,0,2602100,1,"Bom Conselho","PE"
260220,0,2602209,1,"Bom Jardim","PE"
260240,0,2602407,1,"Brejão","PE"
260250,0,2602506,1,"Brejinho","PE"
260260,0,2602605,1,"Brejo da Madre de Deus","PE"
260280,0,2602803,1,"Buíque","PE"
260300,10,2603009,3.32192809488736,"Cabrobó","PE"
260310,0,2603108,1,"Cachoeirinha","PE"
260320,0,2603207,1,"Caetés","PE"
260330,0,2603306,1,"Calçado","PE"
260340,6,2603405,2.58496250072116,"Calumbi","PE"
260350,2,2603504,1,"Camocim de São Félix","PE"
260370,0,2603702,1,"Canhotinho","PE"
260380,0,2603801,1,"Capoeiras","PE"
260390,6,2603900,2.58496250072116,"Carnaíba","PE"
260392,0,2603926,1,"Carnaubeira da Penha","PE"
260410,0,2604106,1,"Caruaru","PE"
260415,0,2604155,1,"Casinhas","PE"
260430,0,2604304,1,"Cedro","PE"
260450,0,2604502,1,"Chã Grande","PE"
260470,0,2604700,1,"Correntes","PE"
260490,0,2604908,1,"Cumaru","PE"
260500,0,2605004,1,"Cupira","PE"
260510,0,2605103,1,"Custódia","PE"
260515,0,2605152,1,"Dormentes","PE"
260530,22,2605301,4.4594316186373,"Exu","PE"
260560,9,2605608,3.16992500144231,"Flores","PE"
260570,5,2605707,2.32192809488736,"Floresta","PE"
260580,1,2605806,1,"Frei Miguelinho","PE"
260600,0,2606002,1,"Garanhuns","PE"
260630,10,2606309,3.32192809488736,"Granito","PE"
260640,3,2606408,1.58496250072116,"Gravatá","PE"
260650,NA,2606507,-1,"Iati","PE"
260660,0,2606606,1,"Ibimirim","PE"
260670,0,2606705,1,"Ibirajuba","PE"
260690,0,2606903,1,"Iguaraci","PE"
260700,9,2607000,3.16992500144231,"Inajá","PE"
260710,0,2607109,1,"Ingazeira","PE"
260730,0,2607307,1,"Ipubi","PE"
260740,0,2607406,1,"Itacuruba","PE"
260750,0,2607505,1,"Itaíba","PE"
260770,0,2607703,1,"Itapetim","PE"
260800,0,2608008,1,"Jataúba","PE"
260805,11,2608057,3.4594316186373,"Jatobá","PE"
260810,3,2608107,1.58496250072116,"João Alfredo","PE"
260825,0,2608255,1,"Jucati","PE"
260830,0,2608305,1,"Jupi","PE"
260840,0,2608404,1,"Jurema","PE"
260860,0,2608602,1,"Lagoa do Ouro","PE"
260870,0,2608701,1,"Lagoa dos Gatos","PE"
260875,0,2608750,1,"Lagoa Grande","PE"
260880,2,2608800,1,"Lajedo","PE"
260915,0,2609154,1,"Manari","PE"
260930,0,2609303,1,"Mirandiba","PE"
260970,4,2609709,2,"Orobó","PE"
260980,2,2609808,1,"Orocó","PE"
260990,7,2609907,2.8073549220576,"Ouricuri","PE"
261010,0,2610103,1,"Palmeirina","PE"
261020,0,2610202,1,"Panelas","PE"
261030,0,2610301,1,"Paranatama","PE"
261040,3,2610400,1.58496250072116,"Parnamirim","PE"
261050,0,2610509,1,"Passira","PE"
261080,0,2610806,1,"Pedra","PE"
261090,3,2610905,1.58496250072116,"Pesqueira","PE"
261100,2,2611002,1,"Petrolândia","PE"
261110,8,2611101,3,"Petrolina","PE"
261120,0,2611200,1,"Poção","PE"
261153,5,2611533,2.32192809488736,"Quixaba","PE"
261170,0,2611705,1,"Riacho das Almas","PE"
261200,0,2612000,1,"Sairé","PE"
261210,0,2612109,1,"Salgadinho","PE"
261220,25,2612208,4.64385618977472,"Salgueiro","PE"
261230,0,2612307,1,"Saloá","PE"
261240,0,2612406,1,"Sanharó","PE"
261245,18,2612455,4.16992500144231,"Santa Cruz","PE"
261247,0,2612471,1,"Santa Cruz da Baixa Verde","PE"
261250,0,2612505,1,"Santa Cruz do Capibaribe","PE"
261255,6,2612554,2.58496250072116,"Santa Filomena","PE"
261260,0,2612604,1,"Santa Maria da Boa Vista","PE"
261270,0,2612703,1,"Santa Maria do Cambucá","PE"
261280,0,2612802,1,"Santa Terezinha","PE"
261300,7,2613008,2.8073549220576,"São Bento do Una","PE"
261310,0,2613107,1,"São Caitano","PE"
261320,1,2613206,1,"São João","PE"
261330,0,2613305,1,"São Joaquim do Monte","PE"
261350,1,2613503,1,"São José do Belmonte","PE"
261360,3,2613602,1.58496250072116,"São José do Egito","PE"
261390,15,2613909,3.90689059560852,"Serra Talhada","PE"
261400,8,2614006,3,"Serrita","PE"
261410,10,2614105,3.32192809488736,"Sertânia","PE"
261430,5,2614303,2.32192809488736,"Moreilândia","PE"
261440,0,2614402,1,"Solidão","PE"
261450,0,2614501,1,"Surubim","PE"
261460,4,2614600,2,"Tabira","PE"
261470,0,2614709,1,"Tacaimbó","PE"
261480,0,2614808,1,"Tacaratu","PE"
261500,0,2615003,1,"Taquaritinga do Norte","PE"
261510,1,2615102,1,"Terezinha","PE"
261520,17,2615201,4.08746284125034,"Terra Nova","PE"
261540,0,2615409,1,"Toritama","PE"
261560,15,2615607,3.90689059560852,"Trindade","PE"
261570,0,2615706,1,"Triunfo","PE"
261580,0,2615805,1,"Tupanatinga","PE"
261590,2,2615904,1,"Tuparetama","PE"
261600,0,2616001,1,"Venturosa","PE"
261610,4,2616100,2,"Verdejante","PE"
261618,0,2616183,1,"Vertente do Lério","PE"
261620,0,2616209,1,"Vertentes","PE"
270010,126,2700102,6.97727992349992,"Água Branca","AL"
270030,156,2700300,7.28540221886225,"Arapiraca","AL"
270070,22,2700706,4.4594316186373,"Batalha","AL"
270090,12,2700904,3.58496250072116,"Belo Monte","AL"
270120,32,2701209,5,"Cacimbinhas","AL"
270160,220,2701605,7.78135971352466,"Canapi","AL"
270180,44,2701803,5.4594316186373,"Carneiros","AL"
270200,6,2702009,2.58496250072116,"Coité do Nóia","AL"
270235,116,2702355,6.85798099512757,"Craíbas","AL"
270240,144,2702405,7.16992500144231,"Delmiro Gouveia","AL"
270250,32,2702504,5,"Dois Riachos","AL"
270255,9,2702553,3.16992500144231,"Estrela de Alagoas","AL"
270290,84,2702900,6.39231742277876,"Girau do Ponciano","AL"
270310,104,2703106,6.70043971814109,"Igaci","AL"
270330,198,2703304,7.62935662007961,"Inhapi","AL"
270340,12,2703403,3.58496250072116,"Jacaré dos Homens","AL"
270370,32,2703700,5,"Jaramataia","AL"
270410,89,2704104,6.4757334309664,"Lagoa da Canoa","AL"
270440,52,2704401,5.70043971814109,"Major Isidoro","AL"
270460,28,2704609,4.8073549220576,"Maravilha","AL"
270500,420,2705002,8.71424551766612,"Mata Grande","AL"
270530,12,2705309,3.58496250072116,"Minador do Negrão","AL"
270540,22,2705408,4.4594316186373,"Monteirópolis","AL"
270570,25,2705705,4.64385618977472,"Olho d'Ã?gua das Flores","AL"
270580,152,2705804,7.24792751344359,"Olho d'Ã?gua do Casado","AL"
270600,27,2706000,4.75488750216347,"Olivença","AL"
270610,30,2706109,4.90689059560852,"Ouro Branco","AL"
270620,20,2706208,4.32192809488736,"Palestina","AL"
270630,20,2706307,4.32192809488736,"Palmeira dos Ã?ndios","AL"
270640,22,2706406,4.4594316186373,"Pão de Açúcar","AL"
270642,146,2706422,7.18982455888002,"Pariconha","AL"
270710,24,2707107,4.58496250072116,"Piranhas","AL"
270720,25,2707206,4.64385618977472,"Poço das Trincheiras","AL"
270760,10,2707602,3.32192809488736,"Quebrangulo","AL"
270800,30,2708006,4.90689059560852,"Santana do Ipanema","AL"
270840,27,2708402,4.75488750216347,"São José da Tapera","AL"
270895,52,2708956,5.70043971814109,"Senador Rui Palmeira","AL"
270920,43,2709202,5.4262647547021,"Traipu","AL"
280010,0,2800100,1,"Amparo de São Francisco","SE"
280020,0,2800209,1,"Aquidabã","SE"
280110,0,2801108,1,"Canhoba","SE"
280120,0,2801207,1,"Canindé de São Francisco","SE"
280140,0,2801405,1,"Carira","SE"
280160,0,2801603,1,"Cedro de São João","SE"
280190,0,2801900,1,"Cumbe","SE"
280220,0,2802205,1,"Feira Nova","SE"
280230,0,2802304,1,"Frei Paulo","SE"
280240,0,2802403,1,"Gararu","SE"
280260,0,2802601,1,"Gracho Cardoso","SE"
280310,0,2803104,1,"Itabi","SE"
280370,0,2803708,1,"Macambira","SE"
280420,0,2804201,1,"Monte Alegre de Sergipe","SE"
280445,0,2804458,1,"Nossa Senhora Aparecida","SE"
280450,0,2804508,1,"Nossa Senhora da Glória","SE"
280460,0,2804607,1,"Nossa Senhora das Dores","SE"
280470,0,2804706,1,"Nossa Senhora de Lourdes","SE"
280500,0,2805000,1,"Pedra Mole","SE"
280520,0,2805208,1,"Pinhão","SE"
280540,0,2805406,1,"Poço Redondo","SE"
280550,0,2805505,1,"Poço Verde","SE"
280560,0,2805604,1,"Porto da Folha","SE"
280570,0,2805703,1,"Propriá","SE"
280600,0,2806008,1,"Ribeirópolis","SE"
280700,0,2807006,1,"São Miguel do Aleixo","SE"
280710,0,2807105,1,"Simão Dias","SE"
280730,0,2807303,1,"Telha","SE"
280740,0,2807402,1,"Tobias Barreto","SE"
290010,NA,2900108,-1,"Abaíra","BA"
290020,6,2900207,2.58496250072116,"Abaré","BA"
290035,0,2900355,1,"Adustina","BA"
290040,0,2900405,1,"Água Fria","BA"
290050,5,2900504,2.32192809488736,"Érico Cardoso","BA"
290100,11,2901007,3.4594316186373,"Amargosa","BA"
290115,98,2901155,6.61470984411521,"América Dourada","BA"
290120,1,2901205,1,"Anagé","BA"
290130,2,2901304,1,"Andaraí","BA"
290135,21,2901353,4.39231742277876,"Andorinha","BA"
290150,0,2901502,1,"Anguera","BA"
290160,3,2901601,1.58496250072116,"Antas","BA"
290170,1,2901700,1,"Antônio Cardoso","BA"
290180,2,2901809,1,"Antônio Gonçalves","BA"
290200,9,2902005,3.16992500144231,"Aracatu","BA"
290210,7,2902104,2.8073549220576,"Araci","BA"
290260,9,2902609,3.16992500144231,"Baixa Grande","BA"
290265,1,2902658,1,"Banzaê","BA"
290270,NA,2902708,-1,"Barra","BA"
290280,27,2902807,4.75488750216347,"Barra da Estiva","BA"
290290,11,2902906,3.4594316186373,"Barra do Choça","BA"
290300,5,2903003,2.32192809488736,"Barra do Mendes","BA"
290323,15,2903235,3.90689059560852,"Barro Alto","BA"
290327,18,2903276,4.16992500144231,"Barrocas","BA"
290350,2,2903508,1,"Belo Campo","BA"
290360,13,2903607,3.70043971814109,"Biritinga","BA"
290370,0,2903706,1,"Boa Nova","BA"
290380,0,2903805,1,"Boa Vista do Tupim","BA"
290390,82,2903904,6.35755200461808,"Bom Jesus da Lapa","BA"
290395,2,2903953,1,"Bom Jesus da Serra","BA"
290400,0,2904001,1,"Boninal","BA"
290405,0,2904050,1,"Bonito","BA"
290410,NA,2904100,-1,"Boquira","BA"
290420,1,2904209,1,"Botuporã","BA"
290430,2,2904308,1,"Brejões","BA"
290440,54,2904407,5.75488750216347,"Brejolândia","BA"
290450,0,2904506,1,"Brotas de Macaúbas","BA"
290460,3,2904605,1.58496250072116,"Brumado","BA"
290475,NA,2904753,-1,"Buritirama","BA"
290480,2,2904803,1,"Caatiba","BA"
290485,18,2904852,4.16992500144231,"Cabaceiras do Paraguaçu","BA"
290500,3,2905008,1.58496250072116,"Caculé","BA"
290510,0,2905107,1,"Caém","BA"
290515,2,2905156,1,"Caetanos","BA"
290520,11,2905206,3.4594316186373,"Caetité","BA"
290530,4,2905305,2,"Cafarnaum","BA"
290550,17,2905503,4.08746284125034,"Caldeirão Grande","BA"
290590,8,2905909,3,"Campo Alegre de Lourdes","BA"
290600,0,2906006,1,"Campo Formoso","BA"
290620,33,2906204,5.04439411935845,"Canarana","BA"
290640,0,2906402,1,"Candeal","BA"
290660,15,2906600,3.90689059560852,"Candiba","BA"
290670,3,2906709,1.58496250072116,"Cândido Sales","BA"
290680,10,2906808,3.32192809488736,"Cansanção","BA"
290682,36,2906824,5.16992500144231,"Canudos","BA"
290685,33,2906857,5.04439411935845,"Capela do Alto Alegre","BA"
290687,4,2906873,2,"Capim Grosso","BA"
290689,10,2906899,3.32192809488736,"Caraíbas","BA"
290710,8,2907103,3,"Carinhanha","BA"
290720,7,2907202,2.8073549220576,"Casa Nova","BA"
290730,22,2907301,4.4594316186373,"Castro Alves","BA"
290755,2,2907558,1,"Caturama","BA"
290760,4,2907608,2,"Central","BA"
290770,0,2907707,1,"Chorrochó","BA"
290780,1,2907806,1,"Cícero Dantas","BA"
290790,1,2907905,1,"Cipó","BA"
290810,NA,2908101,-1,"Cocos","BA"
290840,0,2908408,1,"Conceição do Coité","BA"
290870,6,2908705,2.58496250072116,"Condeúba","BA"
290880,2,2908804,1,"Contendas do Sincorá","BA"
290900,7,2909000,2.8073549220576,"Cordeiros","BA"
290910,12,2909109,3.58496250072116,"Coribe","BA"
290920,36,2909208,5.16992500144231,"Coronel João Sá","BA"
290950,10,2909505,3.32192809488736,"Cravolândia","BA"
290960,1,2909604,1,"Crisópolis","BA"
290990,7,2909901,2.8073549220576,"Curaçá","BA"
291010,NA,2910107,-1,"Dom Basílio","BA"
291030,9,2910305,3.16992500144231,"Elísio Medrado","BA"
291040,3,2910404,1.58496250072116,"Encruzilhada","BA"
291070,19,2910701,4.24792751344359,"Euclides da Cunha","BA"
291075,8,2910750,3,"Fátima","BA"
291077,NA,2910776,-1,"Feira da Mata","BA"
291080,17,2910800,4.08746284125034,"Feira de Santana","BA"
291085,13,2910859,3.70043971814109,"Filadélfia","BA"
291125,14,2911253,3.8073549220576,"Gavião","BA"
291130,2,2911303,1,"Gentio do Ouro","BA"
291140,0,2911402,1,"Glória","BA"
291165,2,2911659,1,"Guajeru","BA"
291170,30,2911709,4.90689059560852,"Guanambi","BA"
291185,8,2911857,3,"Heliópolis","BA"
291190,0,2911907,1,"Iaçu","BA"
291200,6,2912004,2.58496250072116,"Ibiassucê","BA"
291220,0,2912202,1,"Ibicoara","BA"
291240,3,2912400,1.58496250072116,"Ibipeba","BA"
291250,4,2912509,2,"Ibipitanga","BA"
291260,4,2912608,2,"Ibiquera","BA"
291300,0,2913002,1,"Ibitiara","BA"
291310,0,2913101,1,"Ibititá","BA"
291320,6,2913200,2.58496250072116,"Ibotirama","BA"
291330,0,2913309,1,"Ichu","BA"
291340,NA,2913408,-1,"Igaporã","BA"
291350,5,2913507,2.32192809488736,"Iguaí","BA"
291370,2,2913705,1,"Inhambupe","BA"
291380,0,2913804,1,"Ipecaetá","BA"
291400,6,2914000,2.58496250072116,"Ipirá","BA"
291410,0,2914109,1,"Ipupiara","BA"
291420,8,2914208,3,"Irajuba","BA"
291430,12,2914307,3.58496250072116,"Iramaia","BA"
291440,0,2914406,1,"Iraquara","BA"
291460,14,2914604,3.8073549220576,"Irecê","BA"
291470,1,2914703,1,"Itaberaba","BA"
291500,12,2915007,3.58496250072116,"Itaeté","BA"
291510,0,2915106,1,"Itagi","BA"
291535,0,2915353,1,"Itaguaçu da Bahia","BA"
291580,11,2915809,3.4594316186373,"Itambé","BA"
291640,4,2916401,2,"Itapetinga","BA"
291650,2,2916500,1,"Itapicuru","BA"
291670,6,2916708,2.58496250072116,"Itaquara","BA"
291680,0,2916807,1,"Itarantim","BA"
291685,23,2916856,4.52356195605701,"Itatim","BA"
291690,0,2916906,1,"Itiruçu","BA"
291700,20,2917003,4.32192809488736,"Itiúba","BA"
291710,12,2917102,3.58496250072116,"Itororó","BA"
291720,0,2917201,1,"Ituaçu","BA"
291733,1,2917334,1,"Iuiú","BA"
291740,1,2917409,1,"Jacaraci","BA"
291750,2,2917508,1,"Jacobina","BA"
291760,6,2917607,2.58496250072116,"Jaguaquara","BA"
291770,5,2917706,2.32192809488736,"Jaguarari","BA"
291800,0,2918001,1,"Jequié","BA"
291810,22,2918100,4.4594316186373,"Jeremoabo","BA"
291835,4,2918357,2,"João Dourado","BA"
291840,2,2918407,1,"Juazeiro","BA"
291850,0,2918506,1,"Jussara","BA"
291860,0,2918605,1,"Jussiape","BA"
291870,15,2918704,3.90689059560852,"Lafaiete Coutinho","BA"
291875,0,2918753,1,"Lagoa Real","BA"
291900,2,2919009,1,"Lajedinho","BA"
291905,3,2919058,1.58496250072116,"Lajedo do Tabocal","BA"
291910,9,2919108,3.16992500144231,"Lamarão","BA"
291915,6,2919157,2.58496250072116,"Lapão","BA"
291930,1,2919306,1,"Lençóis","BA"
291940,1,2919405,1,"Licínio de Almeida","BA"
291950,1,2919504,1,"Livramento de Nossa Senhora","BA"
291960,6,2919603,2.58496250072116,"Macajuba","BA"
291970,0,2919702,1,"Macarani","BA"
291980,13,2919801,3.70043971814109,"Macaúbas","BA"
291990,45,2919900,5.49185309632967,"Macururé","BA"
291995,0,2919959,1,"Maetinga","BA"
292000,1,2920007,1,"Maiquinique","BA"
292010,13,2920106,3.70043971814109,"Mairi","BA"
292020,5,2920205,2.32192809488736,"Malhada","BA"
292030,2,2920304,1,"Malhada de Pedras","BA"
292040,10,2920403,3.32192809488736,"Manoel Vitorino","BA"
292050,1,2920502,1,"Maracás","BA"
292080,1,2920809,1,"Marcionílio Souza","BA"
292105,14,2921054,3.8073549220576,"Matina","BA"
292120,14,2921203,3.8073549220576,"Miguel Calmon","BA"
292130,9,2921302,3.16992500144231,"Milagres","BA"
292140,1,2921401,1,"Mirangaba","BA"
292145,5,2921450,2.32192809488736,"Mirante","BA"
292150,15,2921500,3.90689059560852,"Monte Santo","BA"
292160,9,2921609,3.16992500144231,"Morpará","BA"
292170,104,2921708,6.70043971814109,"Morro do Chapéu","BA"
292180,1,2921807,1,"Mortugaba","BA"
292190,4,2921906,2,"Mucugê","BA"
292205,29,2922052,4.85798099512757,"Mulungu do Morro","BA"
292210,60,2922102,5.90689059560852,"Mundo Novo","BA"
292225,12,2922250,3.58496250072116,"Muquém de São Francisco","BA"
292265,8,2922656,3,"Nordestina","BA"
292270,1,2922706,1,"Nova Canaã","BA"
292273,25,2922730,4.64385618977472,"Nova Fátima","BA"
292280,27,2922805,4.75488750216347,"Nova Itarana","BA"
292285,1,2922854,1,"Nova Redenção","BA"
292290,0,2922904,1,"Nova Soure","BA"
292303,0,2923035,1,"Novo Horizonte","BA"
292305,1,2923050,1,"Novo Triunfo","BA"
292310,0,2923100,1,"Olindina","BA"
292320,0,2923209,1,"Oliveira dos Brejinhos","BA"
292335,4,2923357,2,"Ourolândia","BA"
292340,2,2923407,1,"Palmas de Monte Alto","BA"
292350,0,2923506,1,"Palmeiras","BA"
292360,3,2923605,1.58496250072116,"Paramirim","BA"
292370,NA,2923704,-1,"Paratinga","BA"
292380,11,2923803,3.4594316186373,"Paripiranga","BA"
292400,2,2924009,1,"Paulo Afonso","BA"
292405,62,2924058,5.95419631038687,"Pé de Serra","BA"
292420,14,2924207,3.8073549220576,"Pedro Alexandre","BA"
292430,NA,2924306,-1,"Piatã","BA"
292440,NA,2924405,-1,"Pilão Arcado","BA"
292450,10,2924504,3.32192809488736,"Pindaí","BA"
292460,NA,2924603,-1,"Pindobaçu","BA"
292465,0,2924652,1,"Pintadas","BA"
292470,0,2924702,1,"Piripá","BA"
292480,40,2924801,5.32192809488736,"Piritiba","BA"
292490,0,2924900,1,"Planaltino","BA"
292500,5,2925006,2.32192809488736,"Planalto","BA"
292510,0,2925105,1,"Poções","BA"
292525,4,2925253,2,"Ponto Novo","BA"
292540,4,2925402,2,"Potiraguá","BA"
292560,4,2925600,2,"Presidente Dutra","BA"
292570,2,2925709,1,"Presidente Jânio Quadros","BA"
292580,2,2925808,1,"Queimadas","BA"
292590,7,2925907,2.8073549220576,"Quijingue","BA"
292593,17,2925931,4.08746284125034,"Quixabeira","BA"
292595,37,2925956,5.20945336562895,"Rafael Jambeiro","BA"
292600,5,2926004,2.32192809488736,"Remanso","BA"
292610,0,2926103,1,"Retirolândia","BA"
292630,46,2926301,5.52356195605701,"Riachão do Jacuípe","BA"
292640,NA,2926400,-1,"Riacho de Santana","BA"
292650,1,2926509,1,"Ribeira do Amparo","BA"
292660,0,2926608,1,"Ribeira do Pombal","BA"
292665,0,2926657,1,"Ribeirão do Largo","BA"
292670,0,2926707,1,"Rio de Contas","BA"
292680,39,2926806,5.28540221886225,"Rio do Antônio","BA"
292690,0,2926905,1,"Rio do Pires","BA"
292710,5,2927101,2.32192809488736,"Rodelas","BA"
292720,6,2927200,2.58496250072116,"Ruy Barbosa","BA"
292750,17,2927507,4.08746284125034,"Santa Bárbara","BA"
292760,5,2927606,2.32192809488736,"Santa Brígida","BA"
292790,14,2927903,3.8073549220576,"Santa Inês","BA"
292800,45,2928000,5.49185309632967,"Santaluz","BA"
292820,0,2928208,1,"Santana","BA"
292830,17,2928307,4.08746284125034,"Santanópolis","BA"
292850,22,2928505,4.4594316186373,"Santa Teresinha","BA"
292880,0,2928802,1,"Santo Estêvão","BA"
292895,32,2928950,5,"São Domingos","BA"
292905,2,2929057,1,"São Félix do Coribe","BA"
292925,0,2929255,1,"São Gabriel","BA"
292937,2,2929370,1,"São José do Jacuípe","BA"
292970,5,2929701,2.32192809488736,"Sátiro Dias","BA"
292980,10,2929800,3.32192809488736,"Saúde","BA"
292990,1,2929909,1,"Seabra","BA"
293000,0,2930006,1,"Sebastião Laranjeiras","BA"
293010,1,2930105,1,"Senhor do Bonfim","BA"
293015,NA,2930154,-1,"Serra do Ramalho","BA"
293020,NA,2930204,-1,"Sento Sé","BA"
293030,53,2930303,5.7279204545632,"Serra Dourada","BA"
293040,0,2930402,1,"Serra Preta","BA"
293050,5,2930501,2.32192809488736,"Serrinha","BA"
293060,7,2930600,2.8073549220576,"Serrolândia","BA"
293075,NA,2930758,-1,"Sítio do Mato","BA"
293076,1,2930766,1,"Sítio do Quinto","BA"
293077,3,2930774,1.58496250072116,"Sobradinho","BA"
293080,50,2930808,5.64385618977472,"Souto Soares","BA"
293090,53,2930907,5.7279204545632,"Tabocas do Brejo Velho","BA"
293100,0,2931004,1,"Tanhaçu","BA"
293105,5,2931053,2.32192809488736,"Tanque Novo","BA"
293110,17,2931103,4.08746284125034,"Tanquinho","BA"
293130,132,2931301,7.04439411935845,"Tapiramutá","BA"
293150,0,2931509,1,"Teofilândia","BA"
293180,3,2931806,1.58496250072116,"Tremedal","BA"
293190,0,2931905,1,"Tucano","BA"
293200,4,2932002,2,"Uauá","BA"
293210,0,2932101,1,"Ubaíra","BA"
293240,0,2932408,1,"Uibaí","BA"
293245,9,2932457,3.16992500144231,"Umburanas","BA"
293260,NA,2932606,-1,"Urandi","BA"
293280,0,2932804,1,"Utinga","BA"
293300,0,2933000,1,"Valente","BA"
293305,1,2933059,1,"Várzea da Roça","BA"
293310,18,2933109,4.16992500144231,"Várzea do Poço","BA"
293315,4,2933158,2,"Várzea Nova","BA"
293330,13,2933307,3.70043971814109,"Vitória da Conquista","BA"
293340,0,2933406,1,"Wagner","BA"
293360,15,2933604,3.90689059560852,"Xique-Xique","BA"
310100,0,3101003,1,"Águas Vermelhas","MG"
310170,53,3101706,5.7279204545632,"Almenara","MG"
310270,5,3102704,2.32192809488736,"Cachoeira de Pajeú","MG"
310340,47,3103405,5.55458885167764,"Araçuaí","MG"
310520,20,3105202,4.32192809488736,"Bandeira","MG"
310650,27,3106507,4.75488750216347,"Berilo","MG"
310665,0,3106655,1,"Berizal","MG"
310825,1,3108255,1,"Bonito de Minas","MG"
311270,8,3112703,3,"Capitão Enéas","MG"
311300,9,3113008,3.16992500144231,"Caraí","MG"
311547,1,3115474,1,"Catuti","MG"
311610,127,3116100,6.98868468677217,"Chapada do Norte","MG"
311700,18,3117009,4.16992500144231,"Comercinho","MG"
311783,2,3117836,1,"Cônego Marinho","MG"
311950,12,3119500,3.58496250072116,"Coronel Murta","MG"
312030,0,3120300,1,"Cristália","MG"
312087,0,3120870,1,"Curral de Dentro","MG"
312235,0,3122355,1,"Divisa Alegre","MG"
