"GEOCODIGO1","extencao_rede","GEOCODIGO","MUNICIPIO","UF"
251690,4.2,2516904,"Uiraúna","PB"
251700,6.2,2517001,"Umbuzeiro","PB"
251710,6.3,2517100,"Várzea","PB"
251720,6.8,2517209,"Vieirópolis","PB"
251740,11.8,2517407,"Zabelê","PB"
260010,7.6,2600104,"Afogados da Ingazeira","PE"
260020,7.4,2600203,"Afrânio","PE"
260030,8.3,2600302,"Agrestina","PE"
260050,8.8,2600500,"Águas Belas","PE"
260060,8,2600609,"Alagoinha","PE"
260080,7.8,2600807,"Altinho","PE"
260100,7.7,2601003,"Angelim","PE"
260110,8.2,2601102,"Araripina","PE"
260120,7.7,2601201,"Arcoverde","PE"
260160,5.9,2601607,"Belém de São Francisco","PE"
260170,8,2601706,"Belo Jardim","PE"
260180,11.8,2601805,"Betânia","PE"
260190,8.1,2601904,"Bezerros","PE"
260200,7.8,2602001,"Bodocó","PE"
260210,8.2,2602100,"Bom Conselho","PE"
260220,10.5,2602209,"Bom Jardim","PE"
260240,7.6,2602407,"Brejão","PE"
260250,7.6,2602506,"Brejinho","PE"
260260,10.3,2602605,"Brejo da Madre de Deus","PE"
260280,7.9,2602803,"Buíque","PE"
260300,10.7,2603009,"Cabrobó","PE"
260310,8,2603108,"Cachoeirinha","PE"
260320,8.4,2603207,"Caetés","PE"
260330,7.6,2603306,"Calçado","PE"
260340,10.1,2603405,"Calumbi","PE"
260350,7.9,2603504,"Camocim de São Félix","PE"
260370,9.2,2603702,"Canhotinho","PE"
260380,7.7,2603801,"Capoeiras","PE"
260390,8.2,2603900,"Carnaíba","PE"
260392,10,2603926,"Carnaubeira da Penha","PE"
260410,8.1,2604106,"Caruaru","PE"
260415,10.3,2604155,"Casinhas","PE"
260430,7.5,2604304,"Cedro","PE"
260450,7.8,2604502,"Chã Grande","PE"
260470,8,2604700,"Correntes","PE"
260490,8.2,2604908,"Cumaru","PE"
260500,7.7,2605004,"Cupira","PE"
260510,10.8,2605103,"Custódia","PE"
260515,8.2,2605152,"Dormentes","PE"
260530,8.9,2605301,"Exu","PE"
260560,7.7,2605608,"Flores","PE"
260570,8,2605707,"Floresta","PE"
260580,13.3,2605806,"Frei Miguelinho","PE"
260600,7.5,2606002,"Garanhuns","PE"
260630,7.5,2606309,"Granito","PE"
260640,11.4,2606408,"Gravatá","PE"
260650,-1,2606507,"Iati","PE"
260660,9.9,2606606,"Ibimirim","PE"
260670,9.6,2606705,"Ibirajuba","PE"
260690,7.4,2606903,"Iguaraci","PE"
260700,8,2607000,"Inajá","PE"
260710,8.1,2607109,"Ingazeira","PE"
260730,7.9,2607307,"Ipubi","PE"
260740,12,2607406,"Itacuruba","PE"
260750,7.7,2607505,"Itaíba","PE"
260770,7.8,2607703,"Itapetim","PE"
260800,9.7,2608008,"Jataúba","PE"
260805,11.7,2608057,"Jatobá","PE"
260810,8,2608107,"João Alfredo","PE"
260825,8.3,2608255,"Jucati","PE"
260830,11,2608305,"Jupi","PE"
260840,8,2608404,"Jurema","PE"
260860,10.6,2608602,"Lagoa do Ouro","PE"
260870,7.6,2608701,"Lagoa dos Gatos","PE"
260875,11.5,2608750,"Lagoa Grande","PE"
260880,8.6,2608800,"Lajedo","PE"
260915,7.8,2609154,"Manari","PE"
260930,22,2609303,"Mirandiba","PE"
260970,10.3,2609709,"Orobó","PE"
260980,7.3,2609808,"Orocó","PE"
260990,9.2,2609907,"Ouricuri","PE"
261010,8.5,2610103,"Palmeirina","PE"
261020,7.6,2610202,"Panelas","PE"
261030,9.9,2610301,"Paranatama","PE"
261040,8.4,2610400,"Parnamirim","PE"
261050,7.8,2610509,"Passira","PE"
261080,9.4,2610806,"Pedra","PE"
261090,8.3,2610905,"Pesqueira","PE"
261100,7.4,2611002,"Petrolândia","PE"
261110,8.6,2611101,"Petrolina","PE"
261120,8.5,2611200,"Poção","PE"
261153,11.7,2611533,"Quixaba","PE"
261170,8.1,2611705,"Riacho das Almas","PE"
261200,8.9,2612000,"Sairé","PE"
261210,7.6,2612109,"Salgadinho","PE"
261220,10.4,2612208,"Salgueiro","PE"
261230,8.5,2612307,"Saloá","PE"
261240,8.1,2612406,"Sanharó","PE"
261245,9.2,2612455,"Santa Cruz","PE"
261247,7.1,2612471,"Santa Cruz da Baixa Verde","PE"
261250,7.3,2612505,"Santa Cruz do Capibaribe","PE"
261255,6.5,2612554,"Santa Filomena","PE"
261260,7.7,2612604,"Santa Maria da Boa Vista","PE"
261270,10.9,2612703,"Santa Maria do Cambucá","PE"
261280,7.9,2612802,"Santa Terezinha","PE"
261300,9,2613008,"São Bento do Una","PE"
261310,7.9,2613107,"São Caitano","PE"
261320,7.8,2613206,"São João","PE"
261330,7.9,2613305,"São Joaquim do Monte","PE"
261350,8.6,2613503,"São José do Belmonte","PE"
261360,7.4,2613602,"São José do Egito","PE"
261390,7.4,2613909,"Serra Talhada","PE"
261400,17.1,2614006,"Serrita","PE"
261410,8.2,2614105,"Sertânia","PE"
261430,7.5,2614303,"Moreilândia","PE"
261440,6.8,2614402,"Solidão","PE"
261450,7.9,2614501,"Surubim","PE"
261460,7.5,2614600,"Tabira","PE"
261470,7.7,2614709,"Tacaimbó","PE"
261480,13.5,2614808,"Tacaratu","PE"
261500,8.4,2615003,"Taquaritinga do Norte","PE"
261510,7.7,2615102,"Terezinha","PE"
261520,7.2,2615201,"Terra Nova","PE"
261540,9.4,2615409,"Toritama","PE"
261560,7.8,2615607,"Trindade","PE"
261570,7.5,2615706,"Triunfo","PE"
261580,8.3,2615805,"Tupanatinga","PE"
261590,7.5,2615904,"Tuparetama","PE"
261600,9.4,2616001,"Venturosa","PE"
261610,8.7,2616100,"Verdejante","PE"
261618,12.3,2616183,"Vertente do Lério","PE"
261620,9.5,2616209,"Vertentes","PE"
270010,6.3,2700102,"Água Branca","AL"
270030,8.9,2700300,"Arapiraca","AL"
270070,19,2700706,"Batalha","AL"
270090,44.9,2700904,"Belo Monte","AL"
270120,42.1,2701209,"Cacimbinhas","AL"
270160,8,2701605,"Canapi","AL"
270180,16.1,2701803,"Carneiros","AL"
270200,7.6,2702009,"Coité do Nóia","AL"
270235,29.3,2702355,"Craíbas","AL"
270240,12.6,2702405,"Delmiro Gouveia","AL"
270250,19.5,2702504,"Dois Riachos","AL"
270255,7.2,2702553,"Estrela de Alagoas","AL"
270290,9.6,2702900,"Girau do Ponciano","AL"
270310,30.5,2703106,"Igaci","AL"
270330,5.6,2703304,"Inhapi","AL"
270340,27.3,2703403,"Jacaré dos Homens","AL"
270370,46.7,2703700,"Jaramataia","AL"
270410,6,2704104,"Lagoa da Canoa","AL"
270440,35.5,2704401,"Major Isidoro","AL"
270460,17.6,2704609,"Maravilha","AL"
270500,11.4,2705002,"Mata Grande","AL"
270530,8.2,2705309,"Minador do Negrão","AL"
270540,19.3,2705408,"Monteirópolis","AL"
270570,13.7,2705705,"Olho d'Ã?gua das Flores","AL"
270580,7.2,2705804,"Olho d'Ã?gua do Casado","AL"
270600,12.3,2706000,"Olivença","AL"
270610,15.6,2706109,"Ouro Branco","AL"
270620,19.4,2706208,"Palestina","AL"
270630,13,2706307,"Palmeira dos Ã?ndios","AL"
270640,11.1,2706406,"Pão de Açúcar","AL"
270642,8.1,2706422,"Pariconha","AL"
270710,7.6,2707107,"Piranhas","AL"
270720,24.6,2707206,"Poço das Trincheiras","AL"
270760,6.8,2707602,"Quebrangulo","AL"
270800,16.9,2708006,"Santana do Ipanema","AL"
270840,28.8,2708402,"São José da Tapera","AL"
270895,12,2708956,"Senador Rui Palmeira","AL"
270920,6.9,2709202,"Traipu","AL"
280010,6.4,2800100,"Amparo de São Francisco","SE"
280020,13.5,2800209,"Aquidabã","SE"
280110,36.6,2801108,"Canhoba","SE"
280120,18.5,2801207,"Canindé de São Francisco","SE"
280140,18.9,2801405,"Carira","SE"
280160,8.7,2801603,"Cedro de São João","SE"
280190,17.7,2801900,"Cumbe","SE"
280220,20.3,2802205,"Feira Nova","SE"
280230,13.6,2802304,"Frei Paulo","SE"
280240,28.6,2802403,"Gararu","SE"
280260,20.2,2802601,"Gracho Cardoso","SE"
280310,24.3,2803104,"Itabi","SE"
280370,22,2803708,"Macambira","SE"
280420,35.6,2804201,"Monte Alegre de Sergipe","SE"
280445,18.8,2804458,"Nossa Senhora Aparecida","SE"
280450,9.2,2804508,"Nossa Senhora da Glória","SE"
280460,11.9,2804607,"Nossa Senhora das Dores","SE"
280470,6.6,2804706,"Nossa Senhora de Lourdes","SE"
280500,24,2805000,"Pedra Mole","SE"
280520,4.8,2805208,"Pinhão","SE"
280540,21.1,2805406,"Poço Redondo","SE"
280550,18.1,2805505,"Poço Verde","SE"
280560,11.1,2805604,"Porto da Folha","SE"
280570,8,2805703,"Propriá","SE"
280600,5.8,2806008,"Ribeirópolis","SE"
280700,7.6,2807006,"São Miguel do Aleixo","SE"
280710,11.9,2807105,"Simão Dias","SE"
280730,8.5,2807303,"Telha","SE"
280740,8,2807402,"Tobias Barreto","SE"
290010,-1,2900108,"Abaíra","BA"
290020,17.1,2900207,"Abaré","BA"
290035,21,2900355,"Adustina","BA"
290040,7.6,2900405,"Água Fria","BA"
290050,15.6,2900504,"Érico Cardoso","BA"
290100,12.8,2901007,"Amargosa","BA"
290115,14.2,2901155,"América Dourada","BA"
290120,14.6,2901205,"Anagé","BA"
290130,12.3,2901304,"Andaraí","BA"
290135,34.8,2901353,"Andorinha","BA"
290150,6.1,2901502,"Anguera","BA"
290160,9,2901601,"Antas","BA"
290170,16.1,2901700,"Antônio Cardoso","BA"
290180,24,2901809,"Antônio Gonçalves","BA"
290200,25.5,2902005,"Aracatu","BA"
290210,6.1,2902104,"Araci","BA"
290260,9.7,2902609,"Baixa Grande","BA"
290265,8.8,2902658,"Banzaê","BA"
290270,-1,2902708,"Barra","BA"
290280,9.6,2902807,"Barra da Estiva","BA"
290290,10.4,2902906,"Barra do Choça","BA"
290300,12.9,2903003,"Barra do Mendes","BA"
290323,10.1,2903235,"Barro Alto","BA"
290327,6.9,2903276,"Barrocas","BA"
290350,19.4,2903508,"Belo Campo","BA"
290360,9,2903607,"Biritinga","BA"
290370,34.6,2903706,"Boa Nova","BA"
290380,12.5,2903805,"Boa Vista do Tupim","BA"
290390,8.1,2903904,"Bom Jesus da Lapa","BA"
290395,12.3,2903953,"Bom Jesus da Serra","BA"
290400,7.6,2904001,"Boninal","BA"
290405,7.8,2904050,"Bonito","BA"
290410,-1,2904100,"Boquira","BA"
290420,22.6,2904209,"Botuporã","BA"
290430,16.1,2904308,"Brejões","BA"
290440,26.4,2904407,"Brejolândia","BA"
290450,10.3,2904506,"Brotas de Macaúbas","BA"
290460,15.4,2904605,"Brumado","BA"
290475,-1,2904753,"Buritirama","BA"
290480,3.8,2904803,"Caatiba","BA"
290485,18.3,2904852,"Cabaceiras do Paraguaçu","BA"
290500,11.9,2905008,"Caculé","BA"
290510,9,2905107,"Caém","BA"
290515,9.3,2905156,"Caetanos","BA"
290520,14,2905206,"Caetité","BA"
290530,14,2905305,"Cafarnaum","BA"
290550,27.5,2905503,"Caldeirão Grande","BA"
290590,11.6,2905909,"Campo Alegre de Lourdes","BA"
290600,5.2,2906006,"Campo Formoso","BA"
290620,14.1,2906204,"Canarana","BA"
290640,9,2906402,"Candeal","BA"
290660,23.8,2906600,"Candiba","BA"
290670,7.6,2906709,"Cândido Sales","BA"
290680,27,2906808,"Cansanção","BA"
290682,11.3,2906824,"Canudos","BA"
290685,12.9,2906857,"Capela do Alto Alegre","BA"
290687,28.5,2906873,"Capim Grosso","BA"
290689,15.1,2906899,"Caraíbas","BA"
290710,7.2,2907103,"Carinhanha","BA"
290720,8.1,2907202,"Casa Nova","BA"
290730,21.8,2907301,"Castro Alves","BA"
290755,24.4,2907558,"Caturama","BA"
290760,14.2,2907608,"Central","BA"
290770,18.2,2907707,"Chorrochó","BA"
290780,7.6,2907806,"Cícero Dantas","BA"
290790,12.5,2907905,"Cipó","BA"
290810,-1,2908101,"Cocos","BA"
290840,7.1,2908408,"Conceição do Coité","BA"
290870,13,2908705,"Condeúba","BA"
290880,12.7,2908804,"Contendas do Sincorá","BA"
290900,12.8,2909000,"Cordeiros","BA"
290910,9.4,2909109,"Coribe","BA"
290920,13.4,2909208,"Coronel João Sá","BA"
290950,12,2909505,"Cravolândia","BA"
290960,9.6,2909604,"Crisópolis","BA"
290990,20.6,2909901,"Curaçá","BA"
291010,-1,2910107,"Dom Basílio","BA"
291030,12.1,2910305,"Elísio Medrado","BA"
291040,7.6,2910404,"Encruzilhada","BA"
291070,23.1,2910701,"Euclides da Cunha","BA"
291075,8.1,2910750,"Fátima","BA"
291077,-1,2910776,"Feira da Mata","BA"
291080,11.1,2910800,"Feira de Santana","BA"
291085,27.3,2910859,"Filadélfia","BA"
291125,6,2911253,"Gavião","BA"
291130,8.5,2911303,"Gentio do Ouro","BA"
291140,23.9,2911402,"Glória","BA"
291165,59.2,2911659,"Guajeru","BA"
291170,24.2,2911709,"Guanambi","BA"
291185,6.3,2911857,"Heliópolis","BA"
291190,9.2,2911907,"Iaçu","BA"
291200,18.4,2912004,"Ibiassucê","BA"
291220,14.4,2912202,"Ibicoara","BA"
291240,22.3,2912400,"Ibipeba","BA"
291250,27.8,2912509,"Ibipitanga","BA"
291260,19.6,2912608,"Ibiquera","BA"
291300,13.2,2913002,"Ibitiara","BA"
291310,14.3,2913101,"Ibititá","BA"
291320,12.8,2913200,"Ibotirama","BA"
291330,8.9,2913309,"Ichu","BA"
291340,-1,2913408,"Igaporã","BA"
291350,5.4,2913507,"Iguaí","BA"
291370,11.6,2913705,"Inhambupe","BA"
291380,7,2913804,"Ipecaetá","BA"
291400,8.1,2914000,"Ipirá","BA"
291410,9.6,2914109,"Ipupiara","BA"
291420,15.6,2914208,"Irajuba","BA"
291430,18.8,2914307,"Iramaia","BA"
291440,12.4,2914406,"Iraquara","BA"
291460,15,2914604,"Irecê","BA"
291470,9.7,2914703,"Itaberaba","BA"
291500,7.5,2915007,"Itaeté","BA"
291510,6,2915106,"Itagi","BA"
291535,14.2,2915353,"Itaguaçu da Bahia","BA"
291580,10,2915809,"Itambé","BA"
291640,6.8,2916401,"Itapetinga","BA"
291650,13.3,2916500,"Itapicuru","BA"
291670,7.4,2916708,"Itaquara","BA"
291680,7.5,2916807,"Itarantim","BA"
291685,21,2916856,"Itatim","BA"
291690,8.9,2916906,"Itiruçu","BA"
291700,15.9,2917003,"Itiúba","BA"
291710,6.8,2917102,"Itororó","BA"
291720,9.2,2917201,"Ituaçu","BA"
291733,11.3,2917334,"Iuiú","BA"
291740,9.7,2917409,"Jacaraci","BA"
291750,11.9,2917508,"Jacobina","BA"
291760,7.6,2917607,"Jaguaquara","BA"
291770,15.5,2917706,"Jaguarari","BA"
291800,8.5,2918001,"Jequié","BA"
291810,9.3,2918100,"Jeremoabo","BA"
291835,14.2,2918357,"João Dourado","BA"
291840,7.3,2918407,"Juazeiro","BA"
291850,14.2,2918506,"Jussara","BA"
291860,14.8,2918605,"Jussiape","BA"
291870,31,2918704,"Lafaiete Coutinho","BA"
291875,28.1,2918753,"Lagoa Real","BA"
291900,4.6,2919009,"Lajedinho","BA"
291905,10.1,2919058,"Lajedo do Tabocal","BA"
291910,4.5,2919108,"Lamarão","BA"
291915,14.3,2919157,"Lapão","BA"
291930,5.9,2919306,"Lençóis","BA"
291940,11.4,2919405,"Licínio de Almeida","BA"
291950,12.8,2919504,"Livramento de Nossa Senhora","BA"
291960,9.6,2919603,"Macajuba","BA"
291970,13,2919702,"Macarani","BA"
291980,38.3,2919801,"Macaúbas","BA"
291990,10.8,2919900,"Macururé","BA"
291995,26,2919959,"Maetinga","BA"
292000,8.3,2920007,"Maiquinique","BA"
292010,10.1,2920106,"Mairi","BA"
292020,16.7,2920205,"Malhada","BA"
292030,10.4,2920304,"Malhada de Pedras","BA"
292040,9,2920403,"Manoel Vitorino","BA"
292050,9.4,2920502,"Maracás","BA"
292080,11.5,2920809,"Marcionílio Souza","BA"
292105,12.7,2921054,"Matina","BA"
292120,8.7,2921203,"Miguel Calmon","BA"
292130,20.3,2921302,"Milagres","BA"
292140,20.1,2921401,"Mirangaba","BA"
292145,11.7,2921450,"Mirante","BA"
292150,15.3,2921500,"Monte Santo","BA"
292160,46.1,2921609,"Morpará","BA"
292170,6.5,2921708,"Morro do Chapéu","BA"
292180,31.3,2921807,"Mortugaba","BA"
292190,33.6,2921906,"Mucugê","BA"
292205,36.8,2922052,"Mulungu do Morro","BA"
292210,23.3,2922102,"Mundo Novo","BA"
292225,33.1,2922250,"Muquém de São Francisco","BA"
292265,26.7,2922656,"Nordestina","BA"
292270,9.4,2922706,"Nova Canaã","BA"
292273,3.6,2922730,"Nova Fátima","BA"
292280,21.8,2922805,"Nova Itarana","BA"
292285,19.6,2922854,"Nova Redenção","BA"
292290,11.9,2922904,"Nova Soure","BA"
292303,0,2923035,"Novo Horizonte","BA"
292305,5.7,2923050,"Novo Triunfo","BA"
292310,8.3,2923100,"Olindina","BA"
292320,16.2,2923209,"Oliveira dos Brejinhos","BA"
292335,6.9,2923357,"Ourolândia","BA"
292340,12.6,2923407,"Palmas de Monte Alto","BA"
292350,4.3,2923506,"Palmeiras","BA"
292360,22.5,2923605,"Paramirim","BA"
292370,-1,2923704,"Paratinga","BA"
292380,10.8,2923803,"Paripiranga","BA"
292400,7.9,2924009,"Paulo Afonso","BA"
292405,11.4,2924058,"Pé de Serra","BA"
292420,40.5,2924207,"Pedro Alexandre","BA"
292430,-1,2924306,"Piatã","BA"
292440,-1,2924405,"Pilão Arcado","BA"
292450,22.8,2924504,"Pindaí","BA"
292460,-1,2924603,"Pindobaçu","BA"
292465,12.7,2924652,"Pintadas","BA"
292470,8.8,2924702,"Piripá","BA"
292480,19.7,2924801,"Piritiba","BA"
292490,7.8,2924900,"Planaltino","BA"
292500,15.4,2925006,"Planalto","BA"
292510,12.6,2925105,"Poções","BA"
292525,27,2925253,"Ponto Novo","BA"
292540,9.6,2925402,"Potiraguá","BA"
292560,14.3,2925600,"Presidente Dutra","BA"
292570,20.3,2925709,"Presidente Jânio Quadros","BA"
292580,11.2,2925808,"Queimadas","BA"
292590,27.1,2925907,"Quijingue","BA"
292593,15.4,2925931,"Quixabeira","BA"
292595,21.4,2925956,"Rafael Jambeiro","BA"
292600,9.7,2926004,"Remanso","BA"
292610,7,2926103,"Retirolândia","BA"
292630,10.8,2926301,"Riachão do Jacuípe","BA"
292640,-1,2926400,"Riacho de Santana","BA"
292650,7.9,2926509,"Ribeira do Amparo","BA"
292660,10.1,2926608,"Ribeira do Pombal","BA"
292665,8.5,2926657,"Ribeirão do Largo","BA"
292670,14.1,2926707,"Rio de Contas","BA"
292680,11.7,2926806,"Rio do Antônio","BA"
292690,10.9,2926905,"Rio do Pires","BA"
292710,9.7,2927101,"Rodelas","BA"
292720,9.5,2927200,"Ruy Barbosa","BA"
292750,10.3,2927507,"Santa Bárbara","BA"
292760,21.4,2927606,"Santa Brígida","BA"
292790,11.4,2927903,"Santa Inês","BA"
292800,9.2,2928000,"Santaluz","BA"
292820,25.9,2928208,"Santana","BA"
292830,10.3,2928307,"Santanópolis","BA"
292850,22.1,2928505,"Santa Teresinha","BA"
292880,6.1,2928802,"Santo Estêvão","BA"
292895,11.5,2928950,"São Domingos","BA"
292905,7.6,2929057,"São Félix do Coribe","BA"
292925,14.2,2929255,"São Gabriel","BA"
292937,8.3,2929370,"São José do Jacuípe","BA"
292970,6.8,2929701,"Sátiro Dias","BA"
292980,7.9,2929800,"Saúde","BA"
292990,8.6,2929909,"Seabra","BA"
293000,17,2930006,"Sebastião Laranjeiras","BA"
293010,7.4,2930105,"Senhor do Bonfim","BA"
293015,-1,2930154,"Serra do Ramalho","BA"
293020,-1,2930204,"Sento Sé","BA"
293030,26.3,2930303,"Serra Dourada","BA"
293040,6.1,2930402,"Serra Preta","BA"
293050,7.7,2930501,"Serrinha","BA"
293060,14.9,2930600,"Serrolândia","BA"
293075,-1,2930758,"Sítio do Mato","BA"
293076,8.7,2930766,"Sítio do Quinto","BA"
293077,7.1,2930774,"Sobradinho","BA"
293080,16.2,2930808,"Souto Soares","BA"
293090,31.1,2930907,"Tabocas do Brejo Velho","BA"
293100,10.9,2931004,"Tanhaçu","BA"
293105,22.4,2931053,"Tanque Novo","BA"
293110,10.3,2931103,"Tanquinho","BA"
293130,5.8,2931301,"Tapiramutá","BA"
293150,10.3,2931509,"Teofilândia","BA"
293180,15.6,2931806,"Tremedal","BA"
293190,8.2,2931905,"Tucano","BA"
293200,36.1,2932002,"Uauá","BA"
293210,6.1,2932101,"Ubaíra","BA"
293240,14.2,2932408,"Uibaí","BA"
293245,17.3,2932457,"Umburanas","BA"
293260,-1,2932606,"Urandi","BA"
293280,5.7,2932804,"Utinga","BA"
293300,10.6,2933000,"Valente","BA"
293305,17.6,2933059,"Várzea da Roça","BA"
293310,21,2933109,"Várzea do Poço","BA"
293315,10.7,2933158,"Várzea Nova","BA"
293330,11.5,2933307,"Vitória da Conquista","BA"
293340,7.3,2933406,"Wagner","BA"
293360,14.3,2933604,"Xique-Xique","BA"
310100,14.8,3101003,"Águas Vermelhas","MG"
310170,9.8,3101706,"Almenara","MG"
310270,7.4,3102704,"Cachoeira de Pajeú","MG"
310340,11.4,3103405,"Araçuaí","MG"
310520,11.6,3105202,"Bandeira","MG"
310650,13,3106507,"Berilo","MG"
310665,13,3106655,"Berizal","MG"
310825,12.1,3108255,"Bonito de Minas","MG"
311270,10.9,3112703,"Capitão Enéas","MG"
311300,10.4,3113008,"Caraí","MG"
311547,13.7,3115474,"Catuti","MG"
311610,18,3116100,"Chapada do Norte","MG"
311700,12.3,3117009,"Comercinho","MG"
311783,21.8,3117836,"Cônego Marinho","MG"
311950,10.1,3119500,"Coronel Murta","MG"
312030,14.3,3120300,"Cristália","MG"
312087,16.5,3120870,"Curral de Dentro","MG"
312235,11.6,3122355,"Divisa Alegre","MG"
312245,6.4,3122454,"Divisópolis","MG"
312430,11.5,3124302,"Espinosa","MG"
312560,13.3,3125606,"Felisburgo","MG"
312650,17.6,3126505,"Francisco Badaró","MG"
312670,10.4,3126703,"Francisco Sá","MG"
312707,14.6,3127073,"Fruta de Leite","MG"
312733,-1,3127339,"Gameleiras","MG"
312780,10,3127800,"Grão Mogol","MG"
312965,13.5,3129657,"Ibiracatu","MG"
313065,15,3130655,"Indaiabira","MG"
313210,11.2,3132107,"Itacarambi","MG"
313330,14.7,3133303,"Itaobim","MG"
313400,12.8,3134004,"Itinga","MG"
313470,13.1,3134707,"Jacinto","MG"
313505,11.3,3135050,"Jaíba","MG"
313510,16.4,3135100,"Janaúba","MG"
313520,11.5,3135209,"Januária","MG"
313535,20.1,3135357,"Japonvar","MG"
313545,20.6,3135456,"Jenipapo de Minas","MG"
313580,9.2,3135803,"Jequitinhonha","MG"
313600,11.8,3136009,"Joaíma","MG"
313650,6.6,3136504,"Jordânia","MG"
313652,15.3,3136520,"José Gonçalves de Minas","MG"
313657,15.3,3136579,"Josenópolis","MG"
313695,19.3,3136959,"Juvenília","MG"
313865,11.5,3138658,"Lontra","MG"
313925,-1,3139250,"Mamonas","MG"
313930,11.9,3139300,"Manga","MG"
314055,6.5,3140555,"Mata Verde","MG"
314085,15.2,3140852,"Matias Cardoso","MG"
314100,15.1,3141009,"Mato Verde","MG"
314140,9.6,3141405,"Medina","MG"
314225,16.7,3142254,"Miravânia","MG"
314270,14.6,3142700,"Montalvânia","MG"
314290,11.5,3142908,"Monte Azul","MG"
314315,67,3143153,"Monte Formoso","MG"
314345,12.2,3143450,"Montezuma","MG"
314465,6.6,3144656,"Ninheira","MG"
314505,39.8,3145059,"Nova Porteirinha","MG"
314530,8.7,3145307,"Novo Cruzeiro","MG"
314537,17.7,3145372,"Novorizonte","MG"
314625,17.5,3146255,"Padre Carvalho","MG"
314630,9.7,3146305,"Padre Paraíso","MG"
314655,16.7,3146552,"Pai Pedro","MG"
314795,13.8,3147956,"Patis","MG"
314870,11.2,3148707,"Pedra Azul","MG"
314915,13.5,3149150,"Pedras de Maria da Cruz","MG"
315217,10.3,3152170,"Ponto dos Volantes","MG"
315220,23.5,3152204,"Porteirinha","MG"
315450,15.3,3154507,"Riacho dos Machados","MG"
315560,9.8,3155603,"Rio Pardo de Minas","MG"
315650,20.2,3156502,"Rubelita","MG"
315660,10.1,3156601,"Rubim","MG"
315700,18.7,3157005,"Salinas","MG"
315710,11,3157104,"Salto da Divisa","MG"
315737,14.3,3157377,"Santa Cruz de Salinas","MG"
315810,11.5,3158102,"Santa Maria do Salto","MG"
316045,13.9,3160454,"Santo Antônio do Retiro","MG"
316240,14,3162401,"São João da Ponte","MG"
316245,9.9,3162450,"São João das Missões","MG"
316270,14.3,3162708,"São João do Paraíso","MG"
316695,32,3166956,"Serranópolis de Minas","MG"
316800,9.9,3168002,"Taiobeiras","MG"
317065,17.4,3170651,"Vargem Grande do Rio Pardo","MG"
317090,14.2,3170909,"Varzelândia","MG"
317103,16.3,3171030,"Verdelândia","MG"
317160,11.1,3171600,"Virgem da Lapa","MG"
